BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Bugs
9,1,0,5,3,1,24,32.54,9.5,2936.77,0.1,63,0.11,163.15,19,44,15,15,25,0
7,1,19,4,2,1,31,38.55,21.52,17846.19,0.28,141,0.05,991.46,51,90,32,27,32,1
9,4,22,5,3,1,29,52.03,12.33,7914.68,0.21,111,0.08,439.7,37,74,33,22,33,1
3,0,0,2,2,1,12,14.62,6.43,604.36,0.03,23,0.16,33.58,9,14,7,10,12,0
25,0,14,13,11,1,106,101.31,27.04,74089.87,0.91,421,0.04,4116.1,192,229,71,20,106,0
5,0,0,3,3,1,15,8.17,18,2648.68,0.05,36,0.06,147.15,15,21,5,12,15,0
9,12,16,5,5,5,25,38.51,14.25,7820.87,0.18,107,0.07,434.49,38,69,20,15,37,0
29,8,35,15,1,3,46,61.1,22.3,30377.95,0.45,239,0.04,1687.66,110,129,37,15,54,0
9,11,28,5,1,5,34,41.24,20.76,17773.08,0.29,155,0.05,987.39,59,96,27,19,45,0
3,2,4,2,1,1,10,15.9,9,1287.55,0.05,35,0.11,71.53,16,19,8,9,12,0
13,10,17,7,1,5,23,27.4,28.12,21659.58,0.26,157,0.04,1203.31,43,114,13,17,33,0
13,10,17,7,1,5,23,17.45,27.22,12929.85,0.16,105,0.04,718.32,35,70,9,14,33,0
9,2,15,5,2,1,31,47.41,27.5,35852.6,0.43,231,0.04,1991.81,70,161,28,22,33,0
9,3,20,5,2,1,24,43.1,15.2,9958,0.22,120,0.07,553.22,40,80,25,19,27,0
3,6,5,2,1,1,13,29.61,9.15,2480.95,0.09,57,0.11,137.83,17,40,13,14,19,0
3,2,0,2,2,1,33,64.01,11.65,8684.99,0.25,135,0.09,482.5,66,69,34,12,35,0
7,6,0,4,1,4,21,21.34,24.44,12748.97,0.17,98,0.04,708.28,40,58,18,22,27,0
60,63,31,41,23,6,177,101.81,54.82,305928.62,1.86,767,0.02,16996.03,268,499,110,45,240,0
8,4,5,5,3,1,14,12.36,15,2781.99,0.06,41,0.07,154.56,16,25,8,15,18,0
