BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Bugs
826,12,157,470,385,113,2824,210.28,384.45,31079782.27,26.95,8441,0,1726654.57,3021,5420,609,155,3442,1
29,8,42,19,19,6,133,108.14,46.32,232043.52,1.67,685,0.02,12891.31,295,390,121,38,222,1
405,0,17,404,2,1,814,101.2,206.01,4294926.45,6.95,2033,0,238607.05,813,1220,811,411,844,1
240,7,344,127,105,33,952,218.17,215.17,10100866.9,15.65,5669,0,561159.25,2301,3368,262,49,1411,1
464,11,75,263,256,140,1339,106.5,337.36,12120796.16,11.98,4308,0,673377.6,1556,2752,226,98,1532,1
187,4,1,94,63,27,391,233.07,58.04,785182.04,4.51,1780,0.02,43621.22,718,1062,167,27,466,1
344,9,40,207,171,58,1124,122.6,269.46,8901671.32,11.01,3848,0,494537.33,1432,2416,279,105,1280,1
47,0,10,24,13,1,75,87.74,30.06,79302.28,0.88,438,0.03,4405.68,157,281,47,18,107,1
163,1,6,94,67,3,656,114.78,174.22,3483952.81,6.67,2702,0.01,193552.92,784,1918,117,52,706,0
67,7,49,34,25,1,589,569.78,49.3,1385089.67,9.36,3281,0.02,76949.43,1522,1759,355,23,790,1
503,3,78,286,197,82,1599,293.29,188.01,10367010.97,18.38,5392,0.01,575945.03,2243,3149,1026,172,1882,1
175,4,32,104,86,46,559,106.36,133.52,1896161.7,4.73,1822,0.01,105342.32,645,1177,157,65,657,1
39,2,9,20,8,6,91,72.83,27.61,55527.32,0.67,327,0.04,3084.85,123,204,49,22,128,1
338,17,30,173,65,90,622,201.58,112.1,2533263.14,7.53,2869,0.01,140736.84,1093,1776,195,40,725,1
65,14,11,33,17,19,244,174.35,47.68,396298.57,2.77,1180,0.02,22016.59,504,676,111,21,334,1
3,1,1,2,2,1,11,46.28,4.59,976.67,0.07,47,0.22,54.26,21,26,16,7,20,0
36,13,120,25,24,1,384,149.63,106.91,1710253.62,5.33,2049,0.01,95014.09,784,1265,176,48,621,1
21,6,12,11,10,5,51,55.41,26.96,40271.64,0.5,255,0.04,2237.31,95,160,37,21,82,1
3,0,0,2,2,1,16,29.06,13,4911.8,0.13,77,0.08,272.88,26,51,15,15,23,1
45,0,31,23,15,10,184,233.12,27.43,175381.67,2.13,843,0.04,9743.43,384,459,168,24,243,1
17,0,9,9,6,4,78,79.42,28.09,62666.87,0.74,349,0.04,3481.49,149,200,61,23,106,1
53,0,51,27,15,17,329,258.56,46.27,553655.03,3.99,1579,0.02,30758.61,676,903,168,23,470,1
7,1,3,4,3,1,221,182.59,50,456476.77,3.04,1294,0.02,25359.82,565,729,113,20,288,1
39,0,4,20,15,16,76,88.31,25.69,58274.06,0.76,362,0.04,3237.45,137,225,56,21,93,1
25,1,20,13,11,11,105,111.25,38.42,164197.54,1.42,660,0.03,9122.09,234,426,67,22,161,1
169,1,17,85,58,57,287,209.56,24.56,126435.8,1.72,733,0.04,7024.21,287,446,111,19,325,1
97,0,47,49,35,17,241,149.47,42.55,270569.63,2.12,900,0.02,15031.65,371,529,109,25,325,1
17,0,10,9,7,1,46,39.89,30,35902.24,0.4,207,0.03,1994.57,72,135,30,25,77,1
3,1,26,2,2,1,41,40.37,30.02,36384.05,0.4,222,0.03,2021.34,79,143,25,19,85,1
11,0,35,10,10,1,96,49.81,69.04,237396.79,1.15,472,0.01,13188.71,153,319,82,74,135,1
27,0,17,14,12,6,90,97.88,29.93,87650.65,0.98,462,0.03,4869.48,171,291,60,21,132,1
274,0,13,273,2,1,552,113.44,140.51,2239582.39,5.31,1644,0.01,124421.27,551,1093,549,280,572,1
57,0,43,29,17,22,158,277.1,27.34,207113.99,2.53,1084,0.04,11506.33,524,560,115,12,235,1
7,0,8,4,3,1,44,67.03,21.15,29982.9,0.47,242,0.05,1665.72,94,148,40,18,65,1
21,2,15,11,7,3,35,28.31,23.33,15415.76,0.22,125,0.04,856.43,40,85,18,21,63,1
139,0,8,70,10,1,150,112.95,48.12,261494.78,1.81,878,0.02,14527.49,317,561,56,17,202,1
127,1,4,82,76,8,452,72.24,140.64,1428851.32,3.39,1359,0.01,79380.63,489,870,113,65,513,1
7,0,3,4,4,1,28,46.75,16.19,12247.78,0.25,137,0.06,680.43,46,91,27,19,49,1
55,34,206,37,37,1,525,234.62,133.13,4157975.43,10.41,3896,0.01,230998.66,1301,2595,215,44,902,1
111,3,15,56,33,12,192,180.19,25.61,118171.02,1.54,631,0.04,6565.06,262,369,133,26,242,1
41,3,44,21,12,7,112,107.44,21.1,47815.95,0.76,345,0.05,2656.44,140,205,73,22,194,1
135,1,42,68,25,20,271,82.1,95.8,753456.46,2.62,1189,0.01,41858.69,479,710,70,28,343,1
27,0,5,14,6,8,60,30.91,29.25,26444.87,0.3,155,0.03,1469.16,65,90,30,27,79,1
81,0,4,68,68,1,266,87.76,69.28,421241.6,2.02,775,0.01,23402.31,298,477,157,73,299,1
12,3,32,7,6,1,80,41.9,44.83,84205.78,0.63,277,0.02,4678.1,100,177,58,52,151,1
13,0,6,7,5,4,75,72.52,28.25,57855.62,0.68,324,0.04,3214.2,140,184,57,23,98,1
15,0,10,8,6,4,91,92.07,27.5,69625.12,0.84,390,0.04,3868.06,170,220,68,22,123,1
37,0,0,19,19,1,242,354.41,35.06,435698.56,4.14,1743,0.03,24205.48,748,995,128,12,324,1
