BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Bugs
1,0,0,1,1,1,3,11.58,2.67,82.35,0.01,11,0.38,4.57,4,7,3,4,5,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,3,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,3,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,3,0
1,0,0,1,1,1,8,18.03,3.5,220.91,0.02,19,0.29,12.27,7,12,5,5,12,0
1,0,0,1,1,1,3,11.58,2.67,82.35,0.01,11,0.38,4.57,4,7,3,4,5,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,3,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,3,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,3,0
1,0,0,1,1,1,9,29.44,3.75,414.05,0.04,29,0.27,23,10,19,8,6,13,0
1,0,0,1,1,1,8,18.03,3.5,220.91,0.02,19,0.29,12.27,7,12,5,5,12,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,3,0
1,0,0,1,1,1,8,18.03,3.5,220.91,0.02,19,0.29,12.27,7,12,5,5,12,0
1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,4,0
1,0,0,1,1,1,8,14.02,7.33,753.86,0.03,27,0.14,41.88,11,16,6,8,13,0
5,0,0,3,2,3,12,18.89,10,1888.7,0.06,43,0.1,104.93,15,28,9,12,16,0
5,0,0,3,2,3,12,18.89,10,1888.7,0.06,43,0.1,104.93,15,28,9,12,16,0
5,0,0,3,2,3,12,18.89,10,1888.7,0.06,43,0.1,104.93,15,28,9,12,16,0
1,0,0,1,1,1,10,27.26,5.2,737.24,0.05,34,0.19,40.96,13,21,10,8,16,0
11,0,1,6,6,5,26,36.3,11.38,4697.06,0.14,85,0.09,260.95,28,57,16,13,35,0
21,0,10,11,11,1,65,40.27,23.04,21378.61,0.31,171,0.04,1187.7,64,107,25,18,83,1
3,0,0,2,2,1,10,21.22,5.78,708.49,0.04,30,0.17,39.36,13,17,9,8,14,0
7,0,0,4,4,1,32,30.53,15.86,7677.16,0.16,103,0.06,426.51,37,66,14,12,40,0
7,0,3,4,4,3,27,42.34,11.57,5663.36,0.16,94,0.09,314.63,38,56,23,14,38,0
15,0,2,8,8,6,37,51.81,14.86,11436.73,0.26,141,0.07,635.37,52,89,28,16,46,1
3,0,0,2,2,1,19,28.99,10,2898.93,0.1,66,0.1,161.05,22,44,11,10,26,0
