BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Bugs
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,2,7.35,8,470.48,0.02,17,0.13,26.14,6,11,3,8,2,0
1,0,0,1,1,1,2,7.81,9,632.78,0.02,19,0.11,35.15,8,11,4,9,2,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,1
18,15,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,82,0
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,0
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,0
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,0
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,1
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,1
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,0
18,15,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,82,0
18,15,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,82,0
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,0
18,14,27,1,1,1,67,31,44.38,61064.32,0.46,238,0.02,3392.46,99,139,29,26,81,1
18,15,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,82,0
18,14,27,1,1,1,67,28.6,47.67,64981.35,0.45,238,0.02,3610.07,99,139,27,26,81,0
11,14,4,6,3,1,20,26.76,22.02,12978.67,0.2,110,0.05,721.04,51,59,22,19,34,0
