BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Bugs
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
5,0,6,3,1,1,16,26.51,16.5,7218.24,0.15,91,0.06,401.01,33,58,14,14,16,0
1,0,3,1,1,1,6,16.4,7.07,820.29,0.04,29,0.14,45.57,11,18,7,9,6,0
1,0,0,1,1,1,3,11.65,4,186.42,0.02,13,0.25,10.36,4,9,4,8,3,0
25,18,9,13,1,9,50,22.12,57,71859.2,0.42,242,0.02,3992.18,108,134,18,19,68,0
25,16,8,13,1,9,52,22.12,57,71859.2,0.42,242,0.02,3992.18,108,134,18,19,68,0
21,5,0,11,1,7,28,9.09,37.4,12716,0.11,85,0.03,706.44,34,51,5,11,33,0
21,5,0,11,1,7,28,9.09,37.4,12716,0.11,85,0.03,706.44,34,51,5,11,33,0
21,5,0,11,1,7,28,9.09,37.4,12716,0.11,85,0.03,706.44,34,51,5,11,33,0
9,3,0,5,5,4,4,6.95,27.62,5307.06,0.06,47,0.04,294.84,17,30,4,13,7,0
1,0,0,1,1,1,2,13.18,5.25,363.24,0.02,20,0.19,20.18,6,14,4,7,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,11.3,6.13,423.78,0.02,20,0.16,23.54,7,13,4,7,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9,3,0,5,5,4,4,6.95,27.62,5307.06,0.06,47,0.04,294.84,17,30,4,13,7,0
1,0,0,1,1,1,6,7.92,1,7.92,0,5,1,0.44,4,1,2,1,6,0
1,0,0,1,1,1,6,3.57,4,57.06,0,9,0.25,3.17,4,5,1,2,6,0
1,0,0,1,1,1,6,2.5,2,10,0,5,0.5,0.56,4,1,1,1,6,0
1,0,0,1,1,1,6,8.51,3,76.62,0.01,11,0.33,4.26,4,7,2,3,6,0
1,0,0,1,1,1,6,23.22,0.5,5.8,0,5,2,0.32,4,1,4,1,6,0
1,0,0,1,1,1,2,13.18,5.25,363.24,0.02,20,0.19,20.18,6,14,4,7,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,1,0,1,1,1,2,13.5,2,54,0.01,9,0.5,3,4,5,4,4,3,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,11.3,6.13,423.78,0.02,20,0.16,23.54,7,13,4,7,2,0
7,4,2,4,3,1,18,20.39,21.87,9749.86,0.15,90,0.05,541.66,41,49,15,16,22,0
7,0,0,4,4,1,5,16.93,9,1371.32,0.05,39,0.11,76.18,12,27,6,9,5,0
1,1,0,1,1,1,6,19.86,6.5,838.88,0.04,36,0.15,46.6,13,23,6,6,7,0
1,1,0,1,1,1,18,13.94,27.75,10733.21,0.13,99,0.04,596.29,37,62,6,9,19,0
1,1,3,1,1,1,7,5,27,3642.78,0.04,39,0.04,202.38,12,27,2,9,8,0
1,1,0,1,1,1,6,19.86,6.5,838.88,0.04,36,0.15,46.6,13,23,6,6,7,0
3,0,0,2,1,1,9,12.93,9.9,1267.2,0.04,32,0.1,70.4,9,23,5,11,9,0
7,0,0,4,4,1,5,14.75,8,944.22,0.04,31,0.13,52.46,12,19,6,8,5,0
7,2,2,4,2,1,45,35.53,29.11,30097.78,0.34,205,0.03,1672.1,79,126,19,14,47,0
1,0,0,1,1,1,5,26.94,2,107.78,0.02,17,0.5,5.99,8,9,6,3,5,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,4,16.05,3.75,225.86,0.02,19,0.27,12.55,6,13,4,5,4,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,2,2,1,1,1,15,17.64,23.25,9537.7,0.14,105,0.04,529.87,31,74,6,9,17,0
11,0,0,6,1,1,20,13.96,12,2010.28,0.06,44,0.08,111.68,18,26,6,8,20,0
17,3,3,9,3,8,30,15.55,36,20153.67,0.19,113,0.03,1119.65,52,61,13,18,33,0
21,3,5,11,3,10,31,19.87,31.5,19711.37,0.21,123,0.03,1095.08,56,67,16,18,34,0
15,2,2,8,1,6,21,15.56,19.2,5736.61,0.1,67,0.05,318.7,32,35,10,12,23,0
5,1,0,3,1,3,11,20.61,6.5,870.87,0.04,31,0.15,48.38,13,18,10,10,12,0
1,0,0,1,1,1,0,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,0,0
1,0,0,1,1,1,0,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,0,0
5,1,0,3,1,3,11,20.61,6.5,870.87,0.04,31,0.15,48.38,13,18,10,10,12,0
1,0,0,1,1,1,0,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,0,0
7,1,0,4,1,4,12,25.42,6.67,1129.72,0.06,38,0.15,62.76,16,22,12,10,13,0
7,2,0,4,2,1,12,15.57,6.42,641.1,0.03,27,0.16,35.62,11,16,6,7,14,0
5,1,1,3,1,3,11,23.04,5.91,804.59,0.05,31,0.17,44.7,13,18,11,10,12,0
5,1,1,3,1,3,11,23.04,5.91,804.59,0.05,31,0.17,44.7,13,18,11,10,12,0
5,1,1,3,2,3,10,18.52,8.27,1267.77,0.05,33,0.12,70.43,13,20,11,14,11,0
9,1,1,5,1,4,13,20.31,10.29,2150.69,0.07,45,0.1,119.48,19,26,12,13,14,0
7,1,0,4,1,1,8,22.78,6.36,922.39,0.05,33,0.16,51.24,14,19,11,10,9,0
19,4,11,10,2,7,28,31.21,30.6,29223.69,0.32,176,0.03,1623.54,85,91,25,18,32,0
19,5,12,10,2,7,46,32.89,32.59,34940.42,0.36,193,0.03,1941.13,88,105,27,20,51,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9,3,0,5,5,4,4,6.95,27.62,5307.06,0.06,47,0.04,294.84,17,30,4,13,7,0
7,0,13,4,4,4,23,41.58,21.64,19463.36,0.3,174,0.05,1081.3,68,106,22,14,23,0
1,3,7,1,1,1,7,27.17,9.38,2388.32,0.08,58,0.11,132.68,25,33,12,9,10,0
1,6,8,1,1,1,16,38.03,18.56,13102.64,0.24,152,0.05,727.92,66,86,16,9,22,0
1,0,6,1,1,1,12,31.09,9.38,2732.13,0.1,62,0.11,151.79,30,32,16,10,12,0
1,1,5,1,1,1,11,31.2,6.68,1393.13,0.07,50,0.15,77.4,21,29,11,7,12,0
1,1,4,1,1,1,11,26.16,8.59,1930.72,0.07,52,0.12,107.26,21,31,11,9,12,0
1,0,0,1,1,1,2,13.18,5.25,363.24,0.02,20,0.19,20.18,6,14,4,7,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,11.3,6.13,423.78,0.02,20,0.16,23.54,7,13,4,7,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9,3,0,5,5,4,4,6.95,27.62,5307.06,0.06,47,0.04,294.84,17,30,4,13,7,0
1,0,2,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,11.07,4.38,211.89,0.02,14,0.23,11.77,5,9,4,7,2,0
5,0,0,3,1,1,8,13.74,6,494.72,0.03,23,0.17,27.48,12,11,6,6,8,0
1,0,0,1,1,1,2,13.18,5.25,363.24,0.02,20,0.19,20.18,6,14,4,7,2,0
5,2,0,3,1,3,10,19.66,7,963.25,0.05,33,0.14,53.51,14,19,9,9,12,0
3,2,0,2,2,1,12,22.36,8.55,1634.39,0.06,45,0.12,90.8,19,26,10,9,14,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,11.3,6.13,423.78,0.02,20,0.16,23.54,7,13,4,7,2,0
1,1,0,1,1,1,11,14.59,30,13127.15,0.15,112,0.03,729.29,40,72,6,9,12,0
9,4,0,5,3,5,14,14.66,21.64,6864.9,0.11,66,0.05,381.38,28,38,11,17,18,0
5,1,0,3,1,1,9,13.14,11.57,1758.86,0.05,38,0.09,97.71,18,20,7,9,10,0
5,1,0,3,1,1,11,15.79,18.33,5308.77,0.1,67,0.05,294.93,30,37,9,11,12,0
1,1,0,1,1,1,11,14.59,30,13127.15,0.15,112,0.03,729.29,40,72,6,9,12,0
5,1,0,3,1,1,9,12.83,10.29,1357.71,0.04,33,0.1,75.43,16,17,7,9,10,0
7,1,0,4,1,1,12,12.86,14.78,2807.62,0.06,42,0.07,155.98,19,23,9,14,13,0
5,1,0,3,1,1,9,13.14,11.57,1758.86,0.05,38,0.09,97.71,18,20,7,9,10,0
3,0,0,2,2,1,6,10.48,9.75,996.32,0.03,25,0.1,55.35,6,19,4,13,6,0
9,4,0,5,3,5,14,15.76,19.09,5743.08,0.1,64,0.05,319.06,28,36,11,15,18,0
5,2,0,3,1,3,9,17.56,6.75,800.12,0.04,29,0.15,44.45,12,17,8,9,11,0
3,2,0,2,2,1,11,23.6,8.1,1548.37,0.06,45,0.12,86.02,18,27,10,9,13,0
3,1,0,2,1,1,5,10.34,10.83,1213.33,0.04,28,0.09,67.41,13,15,6,10,6,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
5,1,0,3,1,1,9,11.8,10,1180.28,0.04,31,0.1,65.57,15,16,6,8,10,0
3,1,0,2,1,1,7,8.51,8,544.91,0.02,19,0.13,30.27,8,11,4,8,8,0
5,0,0,3,1,1,2,13.29,4.5,269.08,0.02,18,0.22,14.95,6,12,4,6,2,0
3,0,0,2,1,1,9,13.29,3.75,186.86,0.02,15,0.27,10.38,5,10,4,6,9,0
1,0,1,1,1,1,2,16.92,3.5,207.22,0.02,16,0.29,11.51,6,10,6,7,2,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9,3,0,5,5,4,4,6.95,27.62,5307.06,0.06,47,0.04,294.84,17,30,4,13,7,0
1,0,0,1,1,1,5,2.67,1.5,6,0,4,0.67,0.33,3,1,1,1,5,0
1,0,0,1,1,1,5,3.7,3,33.28,0,7,0.33,1.85,3,4,1,2,5,0
1,0,0,1,1,1,5,2.67,1.5,6,0,4,0.67,0.33,3,1,1,1,5,0
1,0,0,1,1,1,5,16,0.5,4,0,4,2,0.22,3,1,3,1,5,0
1,1,0,1,1,1,5,14.17,12.8,2320.92,0.06,49,0.08,128.94,16,33,5,8,6,0
1,0,0,1,1,1,2,13.18,5.25,363.24,0.02,20,0.19,20.18,6,14,4,7,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,5.33,1.5,12,0,4,0.67,0.67,1,3,1,3,2,0
1,0,0,1,1,1,2,11.3,6.13,423.78,0.02,20,0.16,23.54,7,13,4,7,2,0
1,1,0,1,1,1,5,16.14,6,581.18,0.03,28,0.17,32.29,10,18,5,6,6,0
1,1,0,1,1,1,5,14.41,6,518.9,0.03,25,0.17,28.83,10,15,5,6,6,0
3,1,0,2,1,1,14,13.97,14.93,3112.55,0.07,50,0.07,172.92,19,31,7,11,15,0
1,1,0,1,1,1,5,16.14,6,581.18,0.03,28,0.17,32.29,10,18,5,6,6,0
3,0,0,2,1,1,8,10.96,9.63,1015.3,0.04,27,0.1,56.41,7,20,4,11,8,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
1,0,0,1,1,1,2,7.74,1.5,17.41,0,5,0.67,0.97,2,3,2,3,2,0
